winemaker;latitude;longitude
Cascina Fontana;8.242505;45.0796
Brigaldara;45.506966;10.893596
Castellare;43.73126;10.781426
Paladin;45.7172;12.466887
Damilano;44.65463;8.028054
Capichera;41.039806;9.383783
Antinori;43.612602;11.191609
Tenuta San Guido;43.23391;10.616
Fattoria le Pupille;42.782665;11.188463
Poggio Al Tesoro;43.25903;10.594952
Podere Forte;43.008297;11.595079
Le Potazzine;43.06059;11.488983
Comm. G.B. Burlotto;44.7554;8.03134
Giovanni Chiappini;43.20958;10.611867
Colle Santa Mustiola;43.025105;11.960721
Serafini & Vidotto;45.83126;12.139587
Colterenzio (Schreckbichl);46.46437;11.28719
Col d'Orcia;42.96716;11.437819
Salvioni;43.060867;11.490197
Gaja;44.557007;7.711347
Castello di Ama;43.441765;11.389819
Damilano;44.65463;8.028054
Franz Haas;46.320156;11.28547
Antinori;43.612602;11.191609
Brancaia;43.45276;11.33356
Castel Sallegg;46.414585;11.239765
Corte Rugolin;45.52233;10.907557
Cavallotto;44.627556;7.976528
Le Salette;45.543324;10.884001
La Fornace;44.049015;10.85361
Antinori;43.612602;11.191609
Carpineto;43.598534;11.384176
Donatella Cinelli Colombini;43.06059;11.488983
San Marzano;40.46109;17.495722
Antinori;43.612602;11.191609
San Marzano;40.46109;17.495722
Isole e Olena;45.952923;12.376109
Castellare;43.73126;10.781426
Pasetti;42.44151;14.249353
Cabreo;43.62445;11.283494
Giacomo Fenocchio;44.584343;7.96685
Silvano Bolmida;44.622643;7.974507
Andrea Oberto;44.6381;7.936725
Ceretto;44.675304;7.993334
Ricasoli;43.415768;11.458574
Endrizzi;46.20468;11.143592
Antinori;43.612602;11.191609
Zenato;45.442936;10.669366
Gianfranco Alessandria;44.583897;7.954076
Giacomo Fenocchio;44.584343;7.96685
Salvioni;43.060867;11.490197
Tedeschi;43.966625;10.849747
Roberto Voerzio;39.5078;16.115
E. Pira & Figli;44.693516;7.850146
Arceno;45.8238;8.43722
Tenuta San Guido;43.23391;10.616
Querciabella;43.570656;11.335417
Tua Rita;43.064133;10.68916
Prà;45.42542;11.280456
Giuseppe Rinaldi;44.39793;7.5665
Antinori;43.612602;11.191609
Tenuta Ulisse;42.27561;14.318346
Antinori;43.612602;11.191609
Donatella Cinelli Colombini;43.06059;11.488983
Allegrini;45.540226;10.884376
Caprili;43.01692;11.450028
G.D. Vajra;44.611744;7.919536
Gaja;44.557007;7.711347
Altesino;43.102215;11.489819
Fattoria le Pupille;42.782665;11.188463
Feudi di San Gregorio;40.91706;14.8868
Cordero di Montezemolo;44.638454;7.955805
La Regola;43.363556;10.598702
Ottella;45.431797;10.658924
Bruno Giacosa;44.720646;8.11538
Tua Rita;43.064133;10.68916
Tenuta di Trinoro;42.92515;11.796578
Bibi Graetz;43.794052;11.314494
Michele Chiarlo;44.73813;8.339852
Castello dei Rampolla;43.540524;11.292797
Tenuta CastelGiocondo;43.03925;11.407441
Nino Negri;46.17107;9.990381
Kornell;46.510456;11.284775
Quintarelli Giuseppe;45.51996;10.947095
Cottanera;44.770912;11.746665
Antinori;43.612602;11.191609
Tommasi;45.50491;10.916976
Bussola;45.532272;10.953986
Gaja;44.557007;7.711347
Vietti;44.623917;7.979
Ruffino;43.770927;11.345243
Baglio del Cristo di Campobello;37.231228;13.912173
Matteo Correggia;45.453266;8.65884
Donnafugata;37.788242;12.448781
Vietti;44.623917;7.979
Li Veli;40.429905;17.99541
Paolo Scavino;44.640526;7.972615
Tenuta La Fuga;43.00859;11.39971
Santa Giulia;43.087517;11.548148
Castello dei Rampolla;43.540524;11.292797
Castello del Terriccio;43.412975;10.572179
Paolo Scavino;44.640526;7.972615
Poggio Scalette;43.60149;11.385187
Paolo Scavino;44.640526;7.972615
Tenuta San Guido;43.23391;10.616
Ornellaia;43.212067;10.613753
Bruno Giacosa;44.720646;8.11538
Tenuta San Guido;43.23391;10.616
Gaja;44.557007;7.711347
Antinori;43.612602;11.191609
Brunelli;45.50885;10.87188
Tenuta Prima Pietra;10.610724;43.38774
Cesari;45.310413;9.996291
Cupano;43.010925;11.403122
Bertani;45.518093;11.022496
Gravner;45.982132;13.608124
Castello del Terriccio;43.412975;10.572179
Bussola;45.532272;10.953986
Velenosi;42.85332;13.626477
Massolino;44.60997;7.999955
Bovio;44.63978;7.953554
Castello Nipozzano;43.785557;11.469625
Cantina Valpantena;45.497444;11.016124
Antinori;43.612602;11.191609
Antinori;43.612602;11.191609
Ornellaia;43.212067;10.613753
Tolaini;43.362103;11.452565
Gaja;44.557007;7.711347
Moschioni;46.07227;13.438385
Antinori;43.612602;11.191609
Borgogno;44.610157;7.942971
Quintodecimo;41.043236;14.996742
E. Pira & Figli;44.693516;7.850146
Le Macchiole;43.25903;10.594953
Vietti;44.623917;7.979
Carpineto;43.598534;11.384176
Gaja;44.557007;7.711347
Bertani;45.518093;11.022496
Bruno Giacosa;44.720646;8.11538
Farnese;42.352707;14.401362
Cantina Sampietrana;40.489742;17.998133
Bruno Giacosa;44.720646;8.11538
Casanova di Neri;43.057343;11.519795
Antinori;43.612602;11.191609
Marchesi di Gresy;44.725048;8.080868
Il Paradiso di Frassina;42.981487;11.360187
Stefano Accordini;45.50337;10.922331
Casanova di Neri;43.057343;11.519795
Santadi;39.093407;8.716156
Feudi di San Gregorio;40.91706;14.8868
Carpineto;43.598534;11.384176
Jacopo Biondi Santi;43.0901;11.491832
Col d'Orcia;42.96716;11.437819
Rocca delle Macìe;43.47143;11.285394
Tenuta Sant'Antonio;45.45245;11.120593
Castello di Ama;43.441765;11.389819
Allegrini;45.540226;10.884376
Prunotto;44.68551;8.009502
Poggio Antico;43.01737;11.474284
Tenuta San Guido;43.23391;10.616
Pileum;40.78157;14.270832
Casanova di Neri;43.057343;11.519795
Mauro Molino;44.635944;7.959777
Mazzei;43.43548;11.303548
Castello di Ama;43.441765;11.389819
Massolino;44.60997;7.999955
Roagna;44.699535;8.044001
Elio Altare;44.638454;7.955805
Salvioni;43.060867;11.490197
Brunelli;45.50885;10.87188
Isole e Olena;45.952923;12.376109
Antinori;43.612602;11.191609
Latium Morini;45.456154;11.186179
Tenuta di Trinoro;42.92515;11.796578
Tenuta Sant'Antonio;45.45245;11.120593
ARPEPE;46.17125;9.897908
G.D. Vajra;44.611744;7.919536
Poggio San Polo;43.035686;11.47
Podere Il Carnasciale;43.465504;11.575878
Tenuta Sant'Antonio;45.45245;11.120593
Castello di Ama;43.441765;11.389819
Tenuta Il Poggione;42.98532;11.458754
Santadi;39.093407;8.716156
Conti Costanti;43.035686;11.47
Montevertine;43.50142;11.39061
Fonterutoli;43.43548;11.303548
Tenuta Il Poggione;42.98532;11.458754
Oddero;44.64866;7.899592
Elvio Cogno;44.599476;7.939478
Villa Diamante;40.96542;14.83145
Altesino;43.102215;11.489819
Aneri;46.170567;9.869743
Mamete Prevostini;46.3123;9.382729
La Valentina;42.447502;14.113887
Pecchenino;44.548325;7.95585
Le Macchiole;43.25903;10.594953
Podere Forte;43.008297;11.595079
Castello di Ama;43.441765;11.389819
Gaja;44.557007;7.711347
Speri;45.505013;10.920969
Conti Costanti;43.035686;11.47
Azienda Santa Barbara - Stefano Antonucci;43.584034;13.025755
Poggio Antico;43.01737;11.474284
Quintarelli Giuseppe;45.51996;10.947095
Poggio San Polo;43.035686;11.47
Comm. G.B. Burlotto;44.7554;8.03134
Casa Vinicola Bennati;45.475903;11.20222
Scarzello;44.642254;8.104141
Tenuta di Trinoro;42.92515;11.796578
Elio Altare;44.638454;7.955805
Schola Sarmenti;40.17976;18.0391
Antinori;43.612602;11.191609
Il Marroneto;41.017776;17.009956
Altesino;43.102215;11.489819
Casanova di Neri;43.057343;11.519795
Renato Ratti;44.63579;7.954772
Ca'Viola;44.53241;7.960067
Bussola;45.532272;10.953986
Collosorbo;43.386574;11.481889
Gulfi;42.719883;11.189456
Torre d'Orti;45.42062;11.112268
Brancaia;43.45276;11.33356
Feudi di San Gregorio;40.91706;14.8868
Avignonesi;43.178677;11.946745
Tenuta Argentiera;43.168785;10.564557
Tenuta CastelGiocondo;43.03925;11.407441
Casanova di Neri;43.057343;11.519795
Bruno Giacosa;44.720646;8.11538
Massolino;44.60997;7.999955
Michele Chiarlo;44.73813;8.339852
Antinori;43.612602;11.191609
Paolo Scavino;44.640526;7.972615
Gaja;44.557007;7.711347
Antinori;43.612602;11.191609
Gaja;44.557007;7.711347
Donatella Cinelli Colombini;43.06059;11.488983
Tormaresca;41.100792;16.888443
Tommasi;45.50491;10.916976
Terenzi;42.688705;11.334761
La Mozza;42.61173;11.292572
Giacomo Fenocchio;44.584343;7.96685
Montevertine;43.50142;11.39061
Ricasoli;43.415768;11.458574
Giuseppe Rinaldi;44.39793;7.5665
