winemaker;latitude;longitude
St. Michael-Eppan;46.452656;11.268223
Franz Haas;46.320156;11.28547
La Sibilla;40.81772;14.062649
COS;45.10429;7.68163
Albino Armani;45.610584;10.856351
Falkenstein;46.433666;11.16933
Colterenzio (Schreckbichl);46.46437;11.28719
Lungarotti;43.10797;12.378546
Gaja;44.557007;7.711347
Montonale;45.434563;10.554303
Terlan (Terlano);46.530525;11.251588
Bressan;45.90463;13.514971
Colterenzio (Schreckbichl);46.46437;11.28719
Tiefenbrunner;46.23745;11.211603
Tramin;46.345413;11.251244
Bolla;45.221004;10.024785
Stroblhof;46.45004;11.252883
Cusumano;43.316048;13.275079
COS;45.10429;7.68163
Cantina La-Vis;46.13785;11.108017
La Tunella;46.04077;13.437695
Matteo Correggia;45.453266;8.65884
Feudi di San Gregorio;40.91706;14.8868
Cantina Bolzano / Kellerei Bozen;46.0;11.0
St. Michael-Eppan;46.452656;11.268223
Nals Margreid;46.53919;11.205166
Capichera;41.039806;9.383783
Emidio Pepe;42.81976;13.77903
Ca' del Bosco;45.591244;9.989009
Josetta Saffirio;44.61051;7.986095
Ansitz Dolomytos;46.498962;11.441628
Guido Marsella;40.946533;14.747817
Firriato;38.000946;12.546107
Franz Haas;46.320156;11.28547
Mainente;45.41828;11.248526
Villa Russiz;45.957855;13.516798
Braida;44.855286;8.346906
Baron Di Pauli;46.41847;11.252493
Albino Rocca;44.840485;10.18122
La Scolca;45.855312;11.002028
Carpineto;43.598534;11.384176
Avide;41.03124;14.494156
Prà;45.42542;11.280456
Marco Felluga;45.898525;13.509775
St. Michael-Eppan;46.452656;11.268223
Jermann;45.910057;13.531289
Garofoli;43.443443;13.598231
Guado al Melo;44.0173;10.651853
St. Michael-Eppan;46.452656;11.268223
Alois Lageder;46.28827;11.209931
Firriato;38.000946;12.546107
Le Due Terre;46.030937;13.298629
J. Hofstätter;46.341366;11.239585
Matteo Correggia;45.453266;8.65884
Avanzi;45.545002;10.532615
Donnafugata;37.788242;12.448781
St. Michael-Eppan;46.452656;11.268223
Collavini;45.98191;13.406175
Ca’ del Baio;44.688393;8.090119
Tenuta delle Terre Nere;37.885815;15.019189
Gaja;44.557007;7.711347
Kornell;46.510456;11.284775
Vie di Romans;45.90834;13.453796
Terlan (Terlano);46.530525;11.251588
Borgo Molino;45.754665;12.400287
Girlan;48.1163;11.584024
Schiopetto;45.948498;13.508745
Querciabella;43.570656;11.335417
Tenuta delle Terre Nere;37.885815;15.019189
Jermann;45.910057;13.531289
Borgo Paglianetto;44.8773;8.185049
Mandrarossa;37.608944;12.987218
Marco de Bartoli;37.734543;12.538919
Schiopetto;45.948498;13.508745
Sartori di Verona;45.503777;10.934393
Rocca del Principe;40.82107;14.75976
Malvirà;44.793922;7.974958
Antinori;43.612602;11.191609
Alois Lageder;46.28827;11.209931
Tenuta Ulisse;42.27561;14.318346
Cantina Bolzano / Kellerei Bozen;46.0;11.0
Muzic;43.966625;10.849747
Alois Lageder;46.28827;11.209931
Lungarotti;43.10797;12.378546
Tenuta Ammiraglia;42.656734;11.280555
La Scolca;45.855312;11.002028
Marco Carpineti;41.64451;12.912998
Alois Lageder;46.28827;11.209931
Allegrini;45.540226;10.884376
Jermann;45.910057;13.531289
Panizzi;43.46745;11.02247
Feudi di San Gregorio;40.91706;14.8868
Piero Busso;44.73615;8.099348
Guido Marsella;40.946533;14.747817
Franz Haas;46.320156;11.28547
Santa Maria La Palma;40.55808;8.31863
Ornellaia;43.212067;10.613753
