company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Pratello;Catulliano Lugana;3.7;301;8.79;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Lugana;Verdicchio;2020;56.8887;26.7723;50.3791;albero da frutta/agrume/Erbaceo
Manincor;Le Petit;4.4;48;51.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Petit Manseng;2016;68.9296;59.7167;47.1901;Erbaceo/albero da frutta/frutta secca
La Tunella;Rjgialla;3.9;42;14.8;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Orientali del Friuli;Ribolla Gialla;2021;56.6647;26.2578;49.8195;albero da frutta/agrume/Erbaceo
Tiefenbrunner;AU Chardonnay;4.1;32;75.8;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Müller-Thurgau;2016;64.8882;20.63;45.9055;legno/Invecchiamento/albero da frutta
Giacosa Fratelli;Roero Arneis;3.7;79;9.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Roero;Arneis;2019;60.2681;25.0587;47.0688;albero da frutta/agrume/Erbaceo
COS;Zibibbo in Pithos;3.8;31;24.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Muscat Blanc;2020;61.8538;13.5671;28.1737;agrume/Erbaceo/albero da frutta
Michele Satta;Bolgheri Costa di Giulia;3.7;139;16.8;Pasta / Vegetariano / Antipasti e spuntini;Italia;Costa Toscana;Vermentino;2018;43.5616;20.0716;59.5477;albero da frutta/Erbaceo/agrume
Tenuta Cucco;Langhe Chardonnay;3.9;31;17.4;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Langhe;Chardonnay;2019;68.7833;31.172;35.3641;albero da frutta/legno/Erbaceo
Paternoster;Vulcanico Falanghina;3.8;34;12.1;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Basilicata;Falanghina;2020;56.9637;2.6213;37.625;albero da frutta/agrume/Erbaceo
Cantine del Notaio;Il Preliminare;3.9;104;10.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Basilicata;Miscela;2019;61.7937;9.53037;37.9719;nota tropicale/agrume/albero da frutta
Valter Mattoni;Trebbien;3.9;29;30.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Marche;Trebbiano;2019;61.0731;16.1954;63.5958;agrume/albero da frutta/frutti rossi
Falkenstein;Riesling;3.8;69;18.4;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Riesling;2019;60.4639;22.7214;56.1568;agrume/albero da frutta/Erbaceo
Donnachiara;Greco di Tufo;3.9;132;10.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Greco di Tufo;Greco;2019;62.3264;0.0;35.7933;albero da frutta/agrume/Erbaceo
Cantine di Marzo;Fiano di Avellino Classico;3.9;32;12.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Fiano de Avellino;Fiano;2019;60.3685;18.9714;42.2083;agrume/albero da frutta/lieviti
Jasci & Marchesani;Trebbiano d'Abruzzo;3.9;28;9.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Trebbiano d'Abruzzo;Trebbiano D'Abruzzo;2019;65.7296;1.58463;32.8327;Erbaceo/albero da frutta/lieviti
Badia di Morrona;Felciaio;3.8;34;8.21;Pasta / Vegetariano / Antipasti e spuntini;Italia;Toscana;Vermentino;2020;49.3034;17.2131;68.4106;agrume/albero da frutta/legno
Brandini;Le Coccinelle Langhe Bianco;3.8;162;32.56;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Langhe;Arneis;2017;59.3353;20.3913;52.3458;albero da frutta/agrume/Erbaceo
Colterenzio (Schreckbichl);Lafóa Sauvignon;4.4;33;23.76;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sauvignon Blanc;2020;64.3272;23.2412;52.3842;agrume/albero da frutta/vegetale
Emidio Pepe;Trebbiano d'Abruzzo;4.1;774;108.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Trebbiano d'Abruzzo;Trebbiano;2015;49.6489;25.5552;65.5468;Erbaceo/albero da frutta/agrume
La Tunella;Friulano;3.9;64;14.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Orientali del Friuli;Friulano;2019;59.8504;21.7548;44.6739;albero da frutta/Erbaceo/Invecchiamento
Girolamo Russo;Nerina Etna Bianco;3.9;143;29.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Etna;Miscela;2019;61.7953;10.0216;36.9629;Erbaceo/agrume/albero da frutta
A Mano;Fiano - Greco;3.9;114;10.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Salento;Miscela;2020;62.6026;13.4307;35.7182;albero da frutta/agrume/Erbaceo
Tenuta Sant'Antonio;Télos Il Bianco Garganega - Chardonnay;4.0;50;13.2;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Veneto;Miscela;2020;64.5778;23.1927;50.0223;albero da frutta/nota tropicale/agrume
Castrum Morisci;003 Pecorino;4.0;34;12.4;Pasta / Vegetariano / Antipasti e spuntini;Italia;Falerio;Pecorino;2019;45.9176;10.8574;67.6427;agrume/Erbaceo
