idname,price,wine_type,legg_strutt,secco_dolce,piatto_acid,notes,Clusters
Pinot Grigio - 2020.0 - Casata Monfort,11.0,Pinot Grigio,45.4151,9.9701,37.3384,albero da frutta/agrume/lieviti,8
Vigna Di Gabri - 2019.0 - Donnafugata,14.59,Miscela,59.1202,7.22535,35.3724,albero da frutta/Erbaceo/agrume,7
Vermentino Isola dei Nuraghi - 2018.0 - Capichera,43.8,Vermentino,65.6496,17.4435,35.3221,agrume/albero da frutta/Erbaceo,2
Cuvée Bois Chardonnay - 2018.0 - Les Crêtes,39.0,Chardonnay,64.6273,23.6573,51.4761,legno/albero da frutta/Erbaceo,9
Verdicchio dei Castelli di Jesi Classico Superiore - 2019.0 - Azienda Santa Barbara - Stefano Antonucci,17.9,Verdicchio,46.6414,25.3627,62.3024,agrume/albero da frutta/Erbaceo,3
Langhe Arneis - 2020.0 - Tintero Elvio,8.0,Arneis,59.9126,25.7373,52.1418,albero da frutta/agrume/Erbaceo,12
Cicinis - 2017.0 - Attems,21.5,Tocai Friulano,59.5365,27.2808,51.6941,legno/agrume/Erbaceo,18
Sauvignon - 2020.0 - Cantina d'Isera,10.9,Sauvignon Blanc,50.4847,11.2642,54.3857,nota tropicale/agrume/vegetale,1
Estremi Blanc de Morgex et de La Salle - 2019.0 - Cave Mont Blanc de Morgex et la Salle,22.0,Prié,46.6319,15.7426,59.8771,albero da frutta/agrume/Erbaceo,12
Grappoli del Grillo - 2020.0 - Marco de Bartoli,22.39,Grillo,65.6398,7.19348,38.3265,Erbaceo/agrume/albero da frutta,13
Balciana - 2016.0 - Sartarelli,33.0,Verdicchio,57.6193,25.7318,64.0433,Erbaceo/agrume/Invecchiamento,3
Viridis Langhe Sauvignon - 2020.0 - Comm. G.B. Burlotto,18.5,Sauvignon Blanc,63.9214,25.0216,54.4364,agrume/albero da frutta/Erbaceo,14
Lugana Blanc - 2019.0 - Ca' Lojera,10.99,Trebbiano,58.9535,23.9098,52.3365,albero da frutta/agrume/Erbaceo,19
Vieris Sauvignon Blanc - 2020.0 - Vie di Romans,25.84,Sauvignon Blanc,67.7098,24.4985,49.7745,agrume/albero da frutta/Erbaceo,14
Amperg Goldmuskateller - 2018.0 - Klaus Lentsch,12.5,Moscato Giallo,54.5909,27.6565,47.4416,Erbaceo/albero da frutta/spezie,21
Pinot Grigio - 2019.0 - Vignai da Duline,24.7,Pinot Grigio,41.4718,13.8794,42.1702,albero da frutta/Erbaceo/agrume,8
Gewürztraminer - 2021.0 - St. Michael-Eppan,12.5,Gewürztraminer,62.7788,39.3487,31.2808,albero da frutta/nota tropicale/agrume,11
Falanghina del Sannio Taburno - 2020.0 - Il Poggio Vini,10.9,Falanghina,66.366,9.35318,33.1673,albero da frutta/Erbaceo/nota tropicale,5
Ginolfo Viognier - 2015.0 - Baglio di Pianetto,15.9,Viognier,68.9917,4.7725,31.6758,legno/albero da frutta/Erbaceo,22
La Rocca Soave Classico - 2018.0 - Pieropan,31.9,Garganega,34.8595,8.03137,57.3264,albero da frutta/Erbaceo/agrume,17
Riesling Renano Collezione di Famiglia - 2016.0 - Roeno,34.5,Riesling Renano,64.5021,19.4108,58.4272,albero da frutta/agrume/Erbaceo,12
Pinot Grigio - 2020.0 - Visintini,13.53,Pinot Grigio,42.3754,11.0619,41.2133,albero da frutta/agrume/Erbaceo,8
Aristos Sylvaner - 2018.0 - Kellerei Eisacktal - Cantina Valle Isarco,15.6,Sylvaner,61.1466,16.9753,61.0126,albero da frutta/agrume/Erbaceo,20
Misco Castelli di Jesi Verdicchio Riserva Classico - 2014.0 - Tenuta di Tavignano,30.5,Verdicchio,53.3563,25.9451,64.8027,agrume/albero da frutta/Erbaceo,3
Anthìlia - 2020.0 - Donnafugata,9.0,Ansonica,58.8263,10.0095,38.7695,albero da frutta/agrume/Erbaceo,13
Gewürztraminer - 2020.0 - Kellerei Eisacktal - Cantina Valle Isarco,11.39,Gewürztraminer,64.3255,38.2144,30.005,nota tropicale/albero da frutta/agrume,11
Tschaupp Chardonnay - 2015.0 - Weingut Tenuta Schweitzer,29.0,Chardonnay,56.9459,20.3216,53.6024,Floreale/Erbaceo/agrume,12
Grechetto Montefalco - 2020.0 - Antonelli San Marco,7.95,Grechetto,45.3455,17.9808,65.2677,albero da frutta/agrume/Erbaceo,12
Catarratto - 2020.0 - Porta del Vento,16.5,Catarratto Bianco,61.3869,8.24286,37.349,Erbaceo/agrume/albero da frutta,13
Pianacce Vermentino Colli di Luni - 2019.0 - Giacomelli,11.39,Vermentino,58.449,19.4226,54.3251,albero da frutta/Erbaceo/agrume,2
Pinot Grigio - 2019.0 - Grawü Grasselli & Würth,29.0,Pinot Grigio,42.5756,13.5294,37.834,agrume/frutti rossi/albero da frutta,8
Chardonnay - 2014.0 - Jermann,31.9,Chardonnay,59.81,24.6963,50.5784,albero da frutta/legno/agrume,4
Flors di Uis - 2009.0 - Vie di Romans,43.0,Miscela,63.2268,23.7371,52.4442,albero da frutta/Erbaceo/agrume,7
Béchar Fiano di Avellino - 2020.0 - Antonio Caggiano,13.85,Fiano,66.7639,10.7239,43.5204,albero da frutta/Erbaceo/agrume,16
Arneis Roero - 2020.0 - Vietti,13.4,Arneis,60.7282,21.9446,53.9277,albero da frutta/agrume/Erbaceo,12
Sensale Grillo - 2020.0 - Sibiliana,6.9,Grillo,55.9986,3.22591,32.8786,agrume/Erbaceo/lieviti,13
Roero Arneis - 2020.0 - Bruno Giacosa,19.0,Arneis,61.4635,22.6678,49.5574,albero da frutta/agrume/Erbaceo,12
Bianco - 2015.0 - Venissa,190.0,Dorona di Venezia,65.0637,26.3847,49.8801,Erbaceo/albero da frutta/agrume,12
LR - 2015.0 - Colterenzio (Schreckbichl),135.0,Miscela,64.6296,30.3098,38.4566,legno/albero da frutta/nota tropicale,6
Nussbaumer Gewürztraminer - 2020.0 - Tramin,24.1,Gewürztraminer,65.665,41.3617,28.0218,nota tropicale/Erbaceo/albero da frutta,5
Dalila Riserva - 2018.0 - Feudo Arancio,11.9,Miscela,62.6685,7.62594,29.4122,albero da frutta/legno/Erbaceo,22
Mandítocai Friulano - 2017.0 - Livon,20.49,Friulano,69.2129,28.9054,47.5919,albero da frutta/legno/Erbaceo,22
Ferentano Lazio - 2017.0 - Cotarella,19.7,Roscetto,53.0907,26.9826,65.205,legno/Erbaceo/albero da frutta,22
Etna Bianco - 2020.0 - Pietradolce,17.75,Carricante,59.9063,1.21671,43.5154,agrume/Erbaceo/albero da frutta,15
Cicinis - 2018.0 - Attems,22.5,Sauvignon Blanc,59.5365,27.2808,51.6941,legno/agrume/Erbaceo,18
Aphrodisium Vendemmia Tardiva - 2019.0 - Casale del Giglio,25.3,Viognier,46.7345,46.5571,65.0885,albero da frutta/Erbaceo/agrume,12
Le Grade Fiano di Avellino - 2018.0 - Vinosia,10.8,Fiano,58.3867,11.6838,32.7993,agrume/Erbaceo/albero da frutta,16
The Wine Collection Sauvignon - 2017.0 - St. Michael-Eppan,105.0,Sauvignon Blanc,66.4685,17.3049,54.299,albero da frutta/legno/lieviti,6
Klin - 2015.0 - Primosic,43.7,Miscela,64.8086,29.5183,47.33,albero da frutta/legno/Erbaceo,22
Cala Reale Vermentino di Sardegna - 2019.0 - Sella & Mosca,9.5,Vermentino,57.2679,10.7944,34.4814,Erbaceo/agrume/albero da frutta,2
Brolettino Lugana - 2020.0 - Cà dei Frati,13.5,Verdicchio,60.8497,26.7586,50.9679,albero da frutta/agrume/Erbaceo,3
Castello della Sala Bramìto Chardonnay - 2019.0 - Antinori,15.9,Chardonnay,42.6018,23.0373,64.4395,legno/albero da frutta/agrume,4
Dogajolo Toscana Bianco - 2019.0 - Carpineto,7.9,Miscela,42.8774,22.0222,66.2326,albero da frutta/agrume/Erbaceo,7
Chardonnay - 2020.0 - Vie di Romans,25.66,Chardonnay,65.2522,26.555,49.5961,legno/albero da frutta/Erbaceo,9
Albaco Orvieto Classico Superiore - 2018.0 - Cantina Altarocca,13.35,Miscela,46.8636,13.8052,65.8377,legno/albero da frutta/Invecchiamento,6
Staforte Soave Classico - 2018.0 - Prà,13.9,Garganega,30.9301,5.20527,57.2782,albero da frutta/Erbaceo/agrume,17
Pinot Grigio - 2019.0 - Tramin,10.5,Pinot Grigio,40.5001,16.5184,41.2596,albero da frutta/agrume/Erbaceo,8
Tufjano - 2020.0 - Colli Della Murgia,14.9,Minutolo,59.3947,11.8264,39.9083,albero da frutta/agrume/Floreale,11
Arianiello - 2012.0 - Feudi Studi,29.0,Fiano,63.6041,5.4,37.0036,Erbaceo/albero da frutta/agrume,16
Castel Firmian Pinot Grigio Riserva - 2019.0 - Mezzacorona,11.9,Pinot Grigio,44.5924,15.005,34.5388,albero da frutta/Erbaceo/legno,22
Athesis Pinot Bianco - 2019.0 - Kettmeir,23.0,Pinot Blanc,42.7683,0.0,55.2561,albero da frutta/vegetale/agrume,1
Roero Pradalupo Arneis - 2020.0 - Fontanafredda,10.5,Arneis,59.047,22.6825,53.5062,albero da frutta/Erbaceo/agrume,12
Merì Vermentino di Sardegna - 2020.0 - Argiolas,15.6,Vermentino,59.5731,5.73291,39.5774,albero da frutta/agrume/Erbaceo,2
San Pietro Friulano - 2020.0 - I Clivi,15.5,Friulano,61.7128,18.9782,50.6225,Erbaceo/agrume/albero da frutta,21
Pinot Grigio Valdadige Corvara - 2020.0 - Albino Armani,10.7,Pinot Grigio,40.8066,10.5394,41.1986,albero da frutta/agrume/Erbaceo,8
Sauvignon Blanc - 2020.0 - Attems,8.5,Sauvignon Blanc,60.8247,21.383,53.0346,agrume/albero da frutta/vegetale,1
Chardonnay - 2018.0 - Fina,17.0,Chardonnay,63.6855,7.64225,29.6835,legno/albero da frutta/Erbaceo,9
Riesling - 2020.0 - Pacherhof,24.5,Riesling,55.2137,23.2805,57.6666,albero da frutta/agrume/Erbaceo,12
Sauvignon - 2020.0 - Le Vigne di Zamò,15.8,Sauvignon Blanc,61.1955,20.8609,56.9851,agrume/vegetale/albero da frutta,1
Flora Pinot Bianco Riserva - 2018.0 - Girlan,21.0,Weissburgunder,52.3929,0.0,56.2857,vegetale/agrume/Invecchiamento,1
Terre Ferme Pigato - 2019.0 - Lvnae,14.4,Pigato,52.9638,32.1842,55.6333,albero da frutta/agrume/vegetale,1
Sopraquota 900 - 2018.0 - Rosset,43.47,Petite Arvine,67.5796,16.1706,53.8362,Erbaceo/agrume/albero da frutta,12
Gewürztraminer Lunare - 2018.0 - Terlan (Terlano),39.5,Gewürztraminer,65.1104,41.7373,27.7935,nota tropicale/Erbaceo/agrume,5
Maìa - 2019.0 - Siddura,18.0,Vermentino,60.3882,4.77,44.2763,albero da frutta/agrume/Erbaceo,2
Uccellanda Curtefranca - 2015.0 - Bellavista,32.9,Chardonnay,63.6,27.4696,48.6,legno/albero da frutta/agrume,4
Manna Schweizer - 2019.0 - Franz Haas,22.0,Miscela,62.3059,24.9296,52.8374,albero da frutta/Erbaceo/nota tropicale,5
Ribolla Gialla - 2020.0 - Ronco dei Tassi,15.0,Ribolla Gialla,52.72,22.7568,49.3754,albero da frutta/agrume/legno,4
Soave Classico - 2020.0 - Suavia,9.98,Garganega,30.4489,3.99936,59.7632,albero da frutta/agrume/Erbaceo,17
