Name,R,G,B,Clusters
Bombigiana 2019'.png,130.60576939783326,131.1897023397797,130.92721642194948,6
Borc Dodon Uis Blancis 2018'.png,135.8488901265542,115.21974194037377,100.06272736196343,1
Borghetta Lugana Riserva 2016'.png,123.27889725308427,121.8540956838162,117.32597717741336,1
Bosco Satrano Fiano de Avellino 2017'.png,124.24157114267351,128.32762757878757,123.9993548370313,1
Bosco del Gal Custoza 2020'.png,187.87303050345247,175.1955937316693,145.34464878052395,4
Bossi Fedrigotti Chardonnay - Traminer Vign'asmara Dei Conti 2017'.png,139.00105797312142,134.5772757089952,119.43253079360207,0
Braide Alte 2018'.png,144.24975606906327,138.95194036890405,129.4126647406489,6
Breg Anfora Bianco 2012'.png,107.45212961762344,94.10035331508541,83.82485059747641,5
Bricco delle Ciliegie Arneis Roero 2020'.png,153.53489735523436,150.31980287791393,113.28490891656882,0
Brolettino Lugana 2020'.png,107.22189810421594,111.22632456208625,106.88035108858362,1
Bucci Verdicchio dei Castelli di Jesi Classico Superiore 2020'.png,177.1332409215449,167.9551168016102,113.4495447879736,3
Buonsenso Catarratto 2020'.png,156.2355379133909,161.2662614641208,130.31261624553437,2
Bussiador 2018'.png,140.98131516373525,127.79816720713164,107.83402925613346,7
C'D'C (CDC) Bianco 2020'.png,155.31934337099437,140.10965896551554,112.73744845198763,0
Ca' Brione Alpi Retiche di Sondrio 2020'.png,140.6434034327023,124.91214235248155,101.63610400736185,7
Ca' Brione Terrazze Retiche di Sondrio 2020'.png,158.39936321752222,141.2669194103313,116.62494567096658,0
Ca'Marcanda Vistamare Toscana 2020'.png,126.81613987712026,148.71329173027843,152.98081386816028,6
Cala Reale Vermentino di Sardegna 2020'.png,126.9093547132184,143.92210583860845,114.48340919273917,0
Cala Silente Vermentino di Sardegna 2020'.png,121.4389219513492,116.56708915688769,99.62992305842383,1
Caligo Collio Sauvignon 2019'.png,145.08924608000154,144.7977873086677,136.44871917473932,6
Caliz Chardonnay 2020'.png,131.7376430044281,131.78599062534258,133.4130780048045,6
Calpazio Greco Paestum 2020'.png,156.32429300969264,154.2298090256707,140.02904836979997,2
