company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Castello di Verduno;Barbaresco Rabaja Riserva ;4.3;39;59.0;Manzo / Pasta / Agnello;Italia;Barbaresco;Nebbiolo;2015;66.6916;76.9656;10.2039;Erbaceo/frutti rossi/legno
Ca' del Bosco;Carmenero ;4.3;30;42.0;Manzo / Pasta / Agnello;Italia;Vino d'Italia;Carménère;2016;62.5268;41.2838;14.5159;bacche nere/legno/Erbaceo
Dal Forno Romano;Amarone della Valpolicella Monte Lodoletta ;4.7;280;305.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella;Miscela;2013;85.0;29.6819;51.3966;legno/bacche nere/Erbaceo
Valdicava;Brunello di Montalcino Riserva Madonna del Piano ;4.7;245;837.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2001;52.4883;60.7365;9.4144;Erbaceo/legno/bacche nere
Gaja;Pieve Santa Restituta Rennina Brunello di Montalcino ;4.4;30;203.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;47.3706;58.5986;11.3162;Erbaceo/legno/bacche nere
Biserno;Il Pino di Biserno ;4.4;1315;41.4;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2018;56.0101;43.2952;16.7706;legno/bacche nere/Erbaceo
Marion;Amarone della Valpolicella ;4.5;58;48.8;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella;Corvina;2017;85.0;24.5464;50.2588;legno/bacche nere/frutta secca
Tommasi;Ca' Florian Amarone della Valpolicella Classico Riserva ;4.4;211;78.9;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella Classico;Miscela;2012;84.4636;21.7977;48.9391;legno/bacche nere/Erbaceo
Antinori;Tenuta Guado al Tasso Bolgheri Superiore ;4.4;752;444.0;Manzo / Pasta / Agnello;Italia;Bolgheri Superiore;Miscela;2001;65.7678;64.2964;10.9766;legno/bacche nere/Erbaceo
Ciacci Piccolomini d'Aragona;Brunello di Montalcino ;4.3;552;41.5;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;46.4838;55.6812;6.94032;legno/Erbaceo/frutti rossi
