idname,price,wine_type,legg_strutt,secco_dolce,piatto_acid,notes,Clusters
Lilium Est Amarone Della Valpolicella Riserva  - 2008 - Tenuta Sant'Antonio,109.0,Miscela,85.0,27.0013,55.2325,legno/bacche nere/Erbaceo,14
Primitivo di Manduria Riserva  - 2019 - Brunilde di Menzione,11.99,Primitivo,68.8623,20.7118,44.3082,bacche nere/legno/spezie,16
Garblèt Sué Barolo  - 2015 - Brovia,117.0,Nebbiolo,65.4882,72.7554,2.74647,Erbaceo/legno/frutti rossi,1
Antonio Castagnedi Amarone della Valpolicella  - 2017 - Tenuta Sant'Antonio,26.19,Riesling,85.0,25.0604,48.049,legno/bacche nere/Erbaceo,2
Amarone della Valpolicella Classico  - 1999 - Bertani,195.0,Rondinella,83.4356,25.7344,45.395,legno/frutta secca/Erbaceo,13
Bolgheri Superiore Baia Al Vento  - 2017 - Tenuta Campo al Mare,32.99,Miscela,65.0217,70.443,14.6681,bacche nere/legno/Erbaceo,4
Fanova Riserva  - 2018 - Terrecarsiche 1939,17.49,Primitivo,81.8396,42.4023,27.099,legno/Erbaceo/bacche nere,2
Brunello di Montalcino  - 2016 - Talenti,59.0,Sangiovese,48.2454,56.9271,5.29707,Erbaceo/legno/frutti rossi,3
Barolo Cannubi  - 2017 - Giacomo Fenocchio,58.6,Nebbiolo,59.4834,75.228,5.74627,Erbaceo/frutti rossi/legno,1
Tenuta Tignanello 'Solaia'  - 2018 - Antinori,365.0,Cabernet Sauvignon,53.8514,41.8679,14.8718,legno/bacche nere/Erbaceo,12
Rosso Toscana  - 2016 - Riecine,77.9,Sangiovese,43.4741,42.753,7.65734,frutti rossi/legno/spezie,3
Barolo del Comune di Serralunga d'Alba  - 2016 - Tenuta Cucco,34.0,Nebbiolo,62.4598,78.6622,1.27031,frutti rossi/Erbaceo/legno,1
Ripe al Convento Brunello di Montalcino Riserva  - 2013 - Tenuta CastelGiocondo,99.0,Sangiovese,51.5924,58.4552,12.1838,legno/Erbaceo/bacche nere,7
Fratta  - 2016 - Maculan,53.8,Miscela,65.343,40.9759,19.1879,bacche nere/legno/Erbaceo,4
Toscana  - 2005 - Masseto,1700.02,Merlot,57.6969,45.9309,17.0264,legno/bacche nere/Erbaceo,5
Madonna delle Grazie Brunello di Montalcino  - 2015 - Il Marroneto,369.0,Sangiovese,53.2167,58.9154,12.916,Erbaceo/frutti rossi/legno,3
Barolo Pajana  - 2017 - Domenico Clerico,95.0,Nebbiolo,65.2844,81.3144,10.6257,legno/Erbaceo/frutti rossi,1
Barolo Riserva  - 2006 - Borgogno,187.0,Nebbiolo,61.4836,74.4833,6.78666,Erbaceo/legno/frutti rossi,1
Leonardo da Vinci Brunello di Montalcino  - 2016 - Cantine Leonardo da Vinci,29.8,Sangiovese,47.9941,53.6386,4.28691,legno/bacche nere/Erbaceo,7
Brunello di Montalcino  - 2016 - Castiglion del Bosco,50.0,Sangiovese,48.0744,55.8383,5.69278,Erbaceo/frutti rossi/legno,3
Manus Lagrein  - 2018 - Ritterhof,32.8,Lagrein,63.404,48.9721,14.01,bacche nere/frutti rossi/Erbaceo,0
Uno  - 2018 - Tenuta di Carleone,61.39,Sangiovese,49.1065,44.5542,9.27935,legno/bacche nere/Erbaceo,7
Serradenari Barolo  - 2017 - Giulia Negri,63.9,Nebbiolo,51.9225,77.1866,11.9589,Erbaceo/frutti rossi/legno,1
Cannubi Barolo  - 2016 - Marchesi di Barolo,49.5,Nebbiolo,63.5333,73.2126,4.74628,legno/Erbaceo/frutti rossi,1
Barolo Conca  - 2016 - Mauro Molino,75.8,Nebbiolo,65.1319,76.0255,9.94424,legno/Erbaceo/frutti rossi,1
Arborina Barolo  - 2014 - Elio Altare,87.0,Nebbiolo,61.8528,75.408,10.538,Erbaceo/frutti rossi/legno,1
Barolo Ginestra Casa Maté  - 2015 - Elio Grasso,108.0,Nebbiolo,64.7107,74.3502,11.7117,Erbaceo/legno/frutti rossi,1
Brunello di Montalcino  - 1985 - Biondi-Santi,336.0,Sangiovese,46.5723,57.482,7.77796,Erbaceo/legno/frutti rossi,3
Brunello di Montalcino  - 2016 - Castello Romitorio,51.0,Sangiovese,48.7794,56.4964,7.8743,legno/Erbaceo/frutti rossi,3
Vürsù Barolo Campè  - 2000 - La Spinetta,130.0,Nebbiolo,64.8527,76.9342,10.022,Erbaceo/legno/frutti rossi,1
