,Name,R,G,B,Clusters
86,Barbaresco Asili 2016'.png,134.77153607302944,133.02649505679977,127.61873029685198,0
87,Barbaresco Asili 2018'.png,158.09965211852935,155.69524077504747,145.3618106656628,2
88,Barbaresco Baluchin Riserva 2012'.png,151.52247123294137,145.73557461206883,118.47856329511389,5
89,Barbaresco Camp Gros Martinenga Riserva 2014'.png,129.37460664528226,127.92451397171848,117.15007230996947,3
90,Barbaresco Gaiun Martinenga 2016'.png,153.9874540344115,144.11807658999618,134.32460682987312,5
91,Barbaresco Martinenga 2018'.png,143.21184089504965,138.59069374296695,124.41648904023147,0
92,Barbaresco Masseria 2017'.png,142.78434307532106,123.48110913708821,105.32776108368563,7
93,Barbaresco Rabaja Riserva 2015'.png,150.0343550401297,142.75024195757908,135.9158021098279,0
94,Barbaresco Riserva Asili 2015'.png,156.7775166384522,153.76446234882403,143.00626040084396,2
95,Barbaresco Riserva Montefico 2016'.png,157.3958598340928,146.17964355195417,137.88817790622664,5
96,Barbaresco Riserva Montestefano 2015'.png,150.43363024415032,138.60405599169673,138.74992673394354,0
97,Barbaresco Riserva Muncagota 2015'.png,128.7530804727611,123.34993122655901,118.92464482286697,3
98,Barbaresco Riserva Ovello 2016'.png,133.175794185215,130.3432121024201,127.74410695897129,0
99,Barbaresco Riserva Pajé 2015'.png,163.5785226454443,155.43803991291355,154.5210405365688,6
100,Barbaresco Riserva Pora 2016'.png,171.95146374007098,158.97020315202494,146.20502660278672,6
101,Barbaresco Riserva Rabajà 2006'.png,144.27860548258704,136.58320540974282,136.43697446073773,0
102,Barbaresco Riserva Rabajà 2016'.png,136.30356800393162,130.59519293477337,124.63788512983744,0
103,Barbaresco Riserva Rio Sordo 2015'.png,153.57810130868603,145.44584583667643,140.61797545037706,2
104,Barbaresco Santo Stefano 2018'.png,178.31623549721218,156.67405303138307,120.79080665486102,5
105,Barbaresco Vanotu 2016'.png,140.5440957747527,140.7601213579538,139.68283401208274,0
106,Barbera d'Alba 2019'.png,170.5750826572551,143.61144473482443,117.74981786755824,5
107,Barbera d'Alba Cerretta 2018'.png,153.64310567535605,141.72058950694523,127.8265982324738,5
108,Barbera d'Alba Giada 2016'.png,123.73951027526356,116.89316428990837,106.72435034480996,3
109,Barbera d'Alba Vigna Francia 2010'.png,151.29511002494536,143.53098222036544,138.58675868400877,2
110,Barbera d'Alba Vigna Francia 2017'.png,130.05035366422106,134.62232092538957,126.65812065382565,0
111,Barbera d’Alba Legattere 2018'.png,142.14311574723098,142.44533417541783,149.64898562181367,2
112,Barolo (Rocche) 2016'.png,148.82042817190737,141.78329932772044,136.6856258626353,0
113,Barolo 1964'.png,120.1515056656615,107.8863236167097,90.67370935738457,1
114,Barolo 1974'.png,167.96396170095204,160.93418763272143,155.80011967529632,6
115,Barolo 2009'.png,127.9836179032805,126.31615162476382,120.90377071950051,3
116,Barolo 2012'.png,125.88144557448071,116.54814608448831,111.88559939410726,3
117,Barolo 2013'.png,131.12578903106592,127.49148376018121,130.25408051265066,0
118,Barolo 2016'.png,170.74524302752602,166.67099030204525,157.33389509401508,6
119,Barolo 2017'.png,158.87397818674364,153.24270544353342,157.06094910028867,2
120,Barolo Acclivi 2016'.png,160.610331905701,156.40310651297062,153.18641031508272,2
121,Barolo Aeroplan Servaj 2016'.png,155.21416736562426,159.63344054854377,164.67053635112953,6
122,Barolo Aleste 2014'.png,116.95700468497768,117.20353787893343,123.7284300775243,3
123,Barolo Arione 2016'.png,91.35792161203013,87.54640492831797,91.2048540200871,4
124,Barolo Bricco Delle Viole 2016'.png,160.88229098873765,152.37053808559588,135.88181823149267,5
125,Barolo Bricco Gattera 2017'.png,160.92219297298635,154.66779719786481,151.7196512968621,2
126,Barolo Bricco Luciani 2016'.png,133.95093131441826,121.28592663619304,101.00241581269232,7
